country,feature_set,n_features_masked,MORF_MAE_scaled_y,LERF_MAE_scaled_y,MORF_RMSE_scaled_y,LERF_RMSE_scaled_y,MORF_masked_features,LERF_masked_features
Canada,augmented,0,0.04527436156571713,0.04527436156571713,0.08540890013544278,0.08540890013544278,,
Canada,augmented,1,0.2088658283475346,0.04767853706942638,0.2596295132456781,0.08779026603724728,Population,Number of frost days
Canada,augmented,2,0.3100074884939078,0.05786443349172149,0.38809550713536456,0.09133570807733253,Population; CO2 emissions lag1,Number of frost days; Temperature std across months
Canada,augmented,3,0.2866100021684073,0.0722690354257503,0.35244811887158156,0.10674551132630442,Population; CO2 emissions lag1; Electric power consumption,Number of frost days; Temperature std across months; Fossil fuel energy consumption
Canada,augmented,4,0.2977689236166978,0.08709504502803904,0.3676641674077943,0.1170749554533284,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean
Canada,augmented,5,0.3328763000220709,0.09399161492568373,0.4258886419782848,0.11987339718041899,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days
Canada,augmented,6,0.36594814960663535,0.11072700158306942,0.47376996035628166,0.14674732142907204,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP
Canada,augmented,7,0.3700207489796343,0.1742812805012688,0.47933227890726426,0.21651749326858782,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP; Number of hot days,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP; Fertilizer consumption
Canada,augmented,8,0.3790514231055001,0.15075448571195357,0.4876736393456853,0.20582905897611514,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP; Number of hot days; Temperature annual mean,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP; Fertilizer consumption; Renewable energy consumption
Canada,augmented,9,0.3776374201886023,0.19440011093354814,0.4859267867495714,0.243710720851845,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP; Number of hot days; Temperature annual mean; Fossil fuel energy consumption,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP; Fertilizer consumption; Renewable energy consumption; Electric power consumption
Canada,augmented,10,0.3748138478780265,0.26675446007049536,0.4866222506610452,0.33698893504477767,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP; Number of hot days; Temperature annual mean; Fossil fuel energy consumption; Temperature std across months,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP; Fertilizer consumption; Renewable energy consumption; Electric power consumption; CO2 emissions lag1
Canada,augmented,11,0.3703893271776376,0.3703893271776376,0.4822743182841697,0.4822743182841697,Population; CO2 emissions lag1; Electric power consumption; Renewable energy consumption; Fertilizer consumption; GDP; Number of hot days; Temperature annual mean; Fossil fuel energy consumption; Temperature std across months; Number of frost days,Number of frost days; Temperature std across months; Fossil fuel energy consumption; Temperature annual mean; Number of hot days; GDP; Fertilizer consumption; Renewable energy consumption; Electric power consumption; CO2 emissions lag1; Population
